inchikey	smiles	name
FECGNJPYVFEKOD-VMPITWQZSA-N	CN(C)Cc1ccc(S(=O)(=O)n2ccc(/C=C/C(=O)NO)c2)cc1	Resminostat
YALNUENQHAQXEA-UHFFFAOYSA-N	CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1	Givinostat
BWDQBBCUWLSASG-MDZDMXLPSA-N	O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO	Dacinostat
IVTKCTFTVKYWIQ-WEVVVXLNSA-N	O=C(/C=C/C#Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)NO	Oxamflatin
MAUCONCHVWBMHK-UHFFFAOYSA-N	CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12	Abexinostat
NCNRHFGMJRPRSK-MDZDMXLPSA-N	O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO	Belinostat
JHDKZFFAIZKUCU-ZRDIBKRKSA-N	CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC	Pracinostat
JTDYUFSDZATMKU-UHFFFAOYSA-N	O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO	Scriptaid
RTKIYFITIVXBLE-QEQCGCAPSA-N	CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1	Trichostatin A
MFBOGIVSZKQAPD-UHFFFAOYSA-M	CCCC(=O)[O-].[Na+]	Butyrate
