inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Rat	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Dog	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
IYHHRZBKXXKDDY-UHFFFAOYSA-N	Monkey (Cynomolgus)	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	BI 605906
DYUTWRFEEOPXMN-UHFFFAOYSA-N	Rat	0.2	mg/kg		0.2 mg/Kg	Chemical Probes Portal	BAY-179
DYUTWRFEEOPXMN-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg	Chemical Probes Portal	BAY-179
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	GNE-2256
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	GNE-2256
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	GNE-2256
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	GNE-2256
OEDSFMUSNZDJFD-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/kg	Chemical Probes Portal	ABBV-744
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	BI-9627
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	BI-9627
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	BI-9627
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Dog	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	BI-9627
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat					Chemical Probes Portal	BI-9627
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Rat	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	A-192621
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Rat	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	A-192621
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Dog	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	A-192621
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Dog	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	A-192621
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Monkey (Cynomolgus)	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	A-192621
